annots,mix,music,sfx,speech
D:\dnr\tr\1000\annots.csv,D:\dnr\tr\1000\mix.wav,D:\dnr\tr\1000\music.wav,D:\dnr\tr\1000\sfx.wav,D:\dnr\tr\1000\speech.wav
D:\dnr\tr\10021\annots.csv,D:\dnr\tr\10021\mix.wav,D:\dnr\tr\10021\music.wav,D:\dnr\tr\10021\sfx.wav,D:\dnr\tr\10021\speech.wav
D:\dnr\tr\10039\annots.csv,D:\dnr\tr\10039\mix.wav,D:\dnr\tr\10039\music.wav,D:\dnr\tr\10039\sfx.wav,D:\dnr\tr\10039\speech.wav
D:\dnr\tr\10097\annots.csv,D:\dnr\tr\10097\mix.wav,D:\dnr\tr\10097\music.wav,D:\dnr\tr\10097\sfx.wav,D:\dnr\tr\10097\speech.wav
D:\dnr\tr\10100\annots.csv,D:\dnr\tr\10100\mix.wav,D:\dnr\tr\10100\music.wav,D:\dnr\tr\10100\sfx.wav,D:\dnr\tr\10100\speech.wav
D:\dnr\tr\10141\annots.csv,D:\dnr\tr\10141\mix.wav,D:\dnr\tr\10141\music.wav,D:\dnr\tr\10141\sfx.wav,D:\dnr\tr\10141\speech.wav
D:\dnr\tr\10152\annots.csv,D:\dnr\tr\10152\mix.wav,D:\dnr\tr\10152\music.wav,D:\dnr\tr\10152\sfx.wav,D:\dnr\tr\10152\speech.wav
D:\dnr\tr\10180\annots.csv,D:\dnr\tr\10180\mix.wav,D:\dnr\tr\10180\music.wav,D:\dnr\tr\10180\sfx.wav,D:\dnr\tr\10180\speech.wav
D:\dnr\tr\1025\annots.csv,D:\dnr\tr\1025\mix.wav,D:\dnr\tr\1025\music.wav,D:\dnr\tr\1025\sfx.wav,D:\dnr\tr\1025\speech.wav
D:\dnr\tr\10454\annots.csv,D:\dnr\tr\10454\mix.wav,D:\dnr\tr\10454\music.wav,D:\dnr\tr\10454\sfx.wav,D:\dnr\tr\10454\speech.wav
D:\dnr\tr\1049\annots.csv,D:\dnr\tr\1049\mix.wav,D:\dnr\tr\1049\music.wav,D:\dnr\tr\1049\sfx.wav,D:\dnr\tr\1049\speech.wav
D:\dnr\tr\10508\annots.csv,D:\dnr\tr\10508\mix.wav,D:\dnr\tr\10508\music.wav,D:\dnr\tr\10508\sfx.wav,D:\dnr\tr\10508\speech.wav
D:\dnr\tr\10594\annots.csv,D:\dnr\tr\10594\mix.wav,D:\dnr\tr\10594\music.wav,D:\dnr\tr\10594\sfx.wav,D:\dnr\tr\10594\speech.wav
D:\dnr\tr\10610\annots.csv,D:\dnr\tr\10610\mix.wav,D:\dnr\tr\10610\music.wav,D:\dnr\tr\10610\sfx.wav,D:\dnr\tr\10610\speech.wav
D:\dnr\tr\10615\annots.csv,D:\dnr\tr\10615\mix.wav,D:\dnr\tr\10615\music.wav,D:\dnr\tr\10615\sfx.wav,D:\dnr\tr\10615\speech.wav
D:\dnr\tr\10649\annots.csv,D:\dnr\tr\10649\mix.wav,D:\dnr\tr\10649\music.wav,D:\dnr\tr\10649\sfx.wav,D:\dnr\tr\10649\speech.wav
D:\dnr\tr\10734\annots.csv,D:\dnr\tr\10734\mix.wav,D:\dnr\tr\10734\music.wav,D:\dnr\tr\10734\sfx.wav,D:\dnr\tr\10734\speech.wav
D:\dnr\tr\10775\annots.csv,D:\dnr\tr\10775\mix.wav,D:\dnr\tr\10775\music.wav,D:\dnr\tr\10775\sfx.wav,D:\dnr\tr\10775\speech.wav
D:\dnr\tr\1079\annots.csv,D:\dnr\tr\1079\mix.wav,D:\dnr\tr\1079\music.wav,D:\dnr\tr\1079\sfx.wav,D:\dnr\tr\1079\speech.wav
D:\dnr\tr\10794\annots.csv,D:\dnr\tr\10794\mix.wav,D:\dnr\tr\10794\music.wav,D:\dnr\tr\10794\sfx.wav,D:\dnr\tr\10794\speech.wav
D:\dnr\tr\108\annots.csv,D:\dnr\tr\108\mix.wav,D:\dnr\tr\108\music.wav,D:\dnr\tr\108\sfx.wav,D:\dnr\tr\108\speech.wav
D:\dnr\tr\10802\annots.csv,D:\dnr\tr\10802\mix.wav,D:\dnr\tr\10802\music.wav,D:\dnr\tr\10802\sfx.wav,D:\dnr\tr\10802\speech.wav
D:\dnr\tr\1082\annots.csv,D:\dnr\tr\1082\mix.wav,D:\dnr\tr\1082\music.wav,D:\dnr\tr\1082\sfx.wav,D:\dnr\tr\1082\speech.wav
D:\dnr\tr\10834\annots.csv,D:\dnr\tr\10834\mix.wav,D:\dnr\tr\10834\music.wav,D:\dnr\tr\10834\sfx.wav,D:\dnr\tr\10834\speech.wav
D:\dnr\tr\10872\annots.csv,D:\dnr\tr\10872\mix.wav,D:\dnr\tr\10872\music.wav,D:\dnr\tr\10872\sfx.wav,D:\dnr\tr\10872\speech.wav
D:\dnr\tr\10910\annots.csv,D:\dnr\tr\10910\mix.wav,D:\dnr\tr\10910\music.wav,D:\dnr\tr\10910\sfx.wav,D:\dnr\tr\10910\speech.wav
D:\dnr\tr\1092\annots.csv,D:\dnr\tr\1092\mix.wav,D:\dnr\tr\1092\music.wav,D:\dnr\tr\1092\sfx.wav,D:\dnr\tr\1092\speech.wav
D:\dnr\tr\10984\annots.csv,D:\dnr\tr\10984\mix.wav,D:\dnr\tr\10984\music.wav,D:\dnr\tr\10984\sfx.wav,D:\dnr\tr\10984\speech.wav
D:\dnr\tr\10987\annots.csv,D:\dnr\tr\10987\mix.wav,D:\dnr\tr\10987\music.wav,D:\dnr\tr\10987\sfx.wav,D:\dnr\tr\10987\speech.wav
D:\dnr\tr\11005\annots.csv,D:\dnr\tr\11005\mix.wav,D:\dnr\tr\11005\music.wav,D:\dnr\tr\11005\sfx.wav,D:\dnr\tr\11005\speech.wav
D:\dnr\tr\11013\annots.csv,D:\dnr\tr\11013\mix.wav,D:\dnr\tr\11013\music.wav,D:\dnr\tr\11013\sfx.wav,D:\dnr\tr\11013\speech.wav
D:\dnr\tr\11047\annots.csv,D:\dnr\tr\11047\mix.wav,D:\dnr\tr\11047\music.wav,D:\dnr\tr\11047\sfx.wav,D:\dnr\tr\11047\speech.wav
D:\dnr\tr\11073\annots.csv,D:\dnr\tr\11073\mix.wav,D:\dnr\tr\11073\music.wav,D:\dnr\tr\11073\sfx.wav,D:\dnr\tr\11073\speech.wav
D:\dnr\tr\11100\annots.csv,D:\dnr\tr\11100\mix.wav,D:\dnr\tr\11100\music.wav,D:\dnr\tr\11100\sfx.wav,D:\dnr\tr\11100\speech.wav
D:\dnr\tr\11123\annots.csv,D:\dnr\tr\11123\mix.wav,D:\dnr\tr\11123\music.wav,D:\dnr\tr\11123\sfx.wav,D:\dnr\tr\11123\speech.wav
D:\dnr\tr\11137\annots.csv,D:\dnr\tr\11137\mix.wav,D:\dnr\tr\11137\music.wav,D:\dnr\tr\11137\sfx.wav,D:\dnr\tr\11137\speech.wav
D:\dnr\tr\11177\annots.csv,D:\dnr\tr\11177\mix.wav,D:\dnr\tr\11177\music.wav,D:\dnr\tr\11177\sfx.wav,D:\dnr\tr\11177\speech.wav
D:\dnr\tr\11260\annots.csv,D:\dnr\tr\11260\mix.wav,D:\dnr\tr\11260\music.wav,D:\dnr\tr\11260\sfx.wav,D:\dnr\tr\11260\speech.wav
D:\dnr\tr\11280\annots.csv,D:\dnr\tr\11280\mix.wav,D:\dnr\tr\11280\music.wav,D:\dnr\tr\11280\sfx.wav,D:\dnr\tr\11280\speech.wav
D:\dnr\tr\11317\annots.csv,D:\dnr\tr\11317\mix.wav,D:\dnr\tr\11317\music.wav,D:\dnr\tr\11317\sfx.wav,D:\dnr\tr\11317\speech.wav
D:\dnr\tr\11327\annots.csv,D:\dnr\tr\11327\mix.wav,D:\dnr\tr\11327\music.wav,D:\dnr\tr\11327\sfx.wav,D:\dnr\tr\11327\speech.wav
D:\dnr\tr\11342\annots.csv,D:\dnr\tr\11342\mix.wav,D:\dnr\tr\11342\music.wav,D:\dnr\tr\11342\sfx.wav,D:\dnr\tr\11342\speech.wav
D:\dnr\tr\11346\annots.csv,D:\dnr\tr\11346\mix.wav,D:\dnr\tr\11346\music.wav,D:\dnr\tr\11346\sfx.wav,D:\dnr\tr\11346\speech.wav
D:\dnr\tr\11350\annots.csv,D:\dnr\tr\11350\mix.wav,D:\dnr\tr\11350\music.wav,D:\dnr\tr\11350\sfx.wav,D:\dnr\tr\11350\speech.wav
D:\dnr\tr\11382\annots.csv,D:\dnr\tr\11382\mix.wav,D:\dnr\tr\11382\music.wav,D:\dnr\tr\11382\sfx.wav,D:\dnr\tr\11382\speech.wav
D:\dnr\tr\1139\annots.csv,D:\dnr\tr\1139\mix.wav,D:\dnr\tr\1139\music.wav,D:\dnr\tr\1139\sfx.wav,D:\dnr\tr\1139\speech.wav
D:\dnr\tr\11402\annots.csv,D:\dnr\tr\11402\mix.wav,D:\dnr\tr\11402\music.wav,D:\dnr\tr\11402\sfx.wav,D:\dnr\tr\11402\speech.wav
D:\dnr\tr\11499\annots.csv,D:\dnr\tr\11499\mix.wav,D:\dnr\tr\11499\music.wav,D:\dnr\tr\11499\sfx.wav,D:\dnr\tr\11499\speech.wav
D:\dnr\tr\11509\annots.csv,D:\dnr\tr\11509\mix.wav,D:\dnr\tr\11509\music.wav,D:\dnr\tr\11509\sfx.wav,D:\dnr\tr\11509\speech.wav
D:\dnr\tr\11520\annots.csv,D:\dnr\tr\11520\mix.wav,D:\dnr\tr\11520\music.wav,D:\dnr\tr\11520\sfx.wav,D:\dnr\tr\11520\speech.wav
D:\dnr\tr\11537\annots.csv,D:\dnr\tr\11537\mix.wav,D:\dnr\tr\11537\music.wav,D:\dnr\tr\11537\sfx.wav,D:\dnr\tr\11537\speech.wav
D:\dnr\tr\11541\annots.csv,D:\dnr\tr\11541\mix.wav,D:\dnr\tr\11541\music.wav,D:\dnr\tr\11541\sfx.wav,D:\dnr\tr\11541\speech.wav
D:\dnr\tr\1157\annots.csv,D:\dnr\tr\1157\mix.wav,D:\dnr\tr\1157\music.wav,D:\dnr\tr\1157\sfx.wav,D:\dnr\tr\1157\speech.wav
D:\dnr\tr\11657\annots.csv,D:\dnr\tr\11657\mix.wav,D:\dnr\tr\11657\music.wav,D:\dnr\tr\11657\sfx.wav,D:\dnr\tr\11657\speech.wav
D:\dnr\tr\11662\annots.csv,D:\dnr\tr\11662\mix.wav,D:\dnr\tr\11662\music.wav,D:\dnr\tr\11662\sfx.wav,D:\dnr\tr\11662\speech.wav
D:\dnr\tr\1167\annots.csv,D:\dnr\tr\1167\mix.wav,D:\dnr\tr\1167\music.wav,D:\dnr\tr\1167\sfx.wav,D:\dnr\tr\1167\speech.wav
D:\dnr\tr\11699\annots.csv,D:\dnr\tr\11699\mix.wav,D:\dnr\tr\11699\music.wav,D:\dnr\tr\11699\sfx.wav,D:\dnr\tr\11699\speech.wav
D:\dnr\tr\11776\annots.csv,D:\dnr\tr\11776\mix.wav,D:\dnr\tr\11776\music.wav,D:\dnr\tr\11776\sfx.wav,D:\dnr\tr\11776\speech.wav
D:\dnr\tr\11796\annots.csv,D:\dnr\tr\11796\mix.wav,D:\dnr\tr\11796\music.wav,D:\dnr\tr\11796\sfx.wav,D:\dnr\tr\11796\speech.wav
D:\dnr\tr\11812\annots.csv,D:\dnr\tr\11812\mix.wav,D:\dnr\tr\11812\music.wav,D:\dnr\tr\11812\sfx.wav,D:\dnr\tr\11812\speech.wav
D:\dnr\tr\11853\annots.csv,D:\dnr\tr\11853\mix.wav,D:\dnr\tr\11853\music.wav,D:\dnr\tr\11853\sfx.wav,D:\dnr\tr\11853\speech.wav
D:\dnr\tr\11886\annots.csv,D:\dnr\tr\11886\mix.wav,D:\dnr\tr\11886\music.wav,D:\dnr\tr\11886\sfx.wav,D:\dnr\tr\11886\speech.wav
D:\dnr\tr\119\annots.csv,D:\dnr\tr\119\mix.wav,D:\dnr\tr\119\music.wav,D:\dnr\tr\119\sfx.wav,D:\dnr\tr\119\speech.wav
D:\dnr\tr\11951\annots.csv,D:\dnr\tr\11951\mix.wav,D:\dnr\tr\11951\music.wav,D:\dnr\tr\11951\sfx.wav,D:\dnr\tr\11951\speech.wav
D:\dnr\tr\11956\annots.csv,D:\dnr\tr\11956\mix.wav,D:\dnr\tr\11956\music.wav,D:\dnr\tr\11956\sfx.wav,D:\dnr\tr\11956\speech.wav
D:\dnr\tr\11986\annots.csv,D:\dnr\tr\11986\mix.wav,D:\dnr\tr\11986\music.wav,D:\dnr\tr\11986\sfx.wav,D:\dnr\tr\11986\speech.wav
D:\dnr\tr\12003\annots.csv,D:\dnr\tr\12003\mix.wav,D:\dnr\tr\12003\music.wav,D:\dnr\tr\12003\sfx.wav,D:\dnr\tr\12003\speech.wav
D:\dnr\tr\12040\annots.csv,D:\dnr\tr\12040\mix.wav,D:\dnr\tr\12040\music.wav,D:\dnr\tr\12040\sfx.wav,D:\dnr\tr\12040\speech.wav
D:\dnr\tr\12061\annots.csv,D:\dnr\tr\12061\mix.wav,D:\dnr\tr\12061\music.wav,D:\dnr\tr\12061\sfx.wav,D:\dnr\tr\12061\speech.wav
D:\dnr\tr\1217\annots.csv,D:\dnr\tr\1217\mix.wav,D:\dnr\tr\1217\music.wav,D:\dnr\tr\1217\sfx.wav,D:\dnr\tr\1217\speech.wav
D:\dnr\tr\12170\annots.csv,D:\dnr\tr\12170\mix.wav,D:\dnr\tr\12170\music.wav,D:\dnr\tr\12170\sfx.wav,D:\dnr\tr\12170\speech.wav
D:\dnr\tr\12187\annots.csv,D:\dnr\tr\12187\mix.wav,D:\dnr\tr\12187\music.wav,D:\dnr\tr\12187\sfx.wav,D:\dnr\tr\12187\speech.wav
D:\dnr\tr\1220\annots.csv,D:\dnr\tr\1220\mix.wav,D:\dnr\tr\1220\music.wav,D:\dnr\tr\1220\sfx.wav,D:\dnr\tr\1220\speech.wav
D:\dnr\tr\12289\annots.csv,D:\dnr\tr\12289\mix.wav,D:\dnr\tr\12289\music.wav,D:\dnr\tr\12289\sfx.wav,D:\dnr\tr\12289\speech.wav
D:\dnr\tr\12296\annots.csv,D:\dnr\tr\12296\mix.wav,D:\dnr\tr\12296\music.wav,D:\dnr\tr\12296\sfx.wav,D:\dnr\tr\12296\speech.wav
D:\dnr\tr\12297\annots.csv,D:\dnr\tr\12297\mix.wav,D:\dnr\tr\12297\music.wav,D:\dnr\tr\12297\sfx.wav,D:\dnr\tr\12297\speech.wav
